업체명	배출량	주소	시	군구	위도	경도
쌍용머티리얼(주)포항공장	0	경상북도 포항시 남구 대송로 223	경상북도	포항시 남구	129.372379	36.0007323
쌍용양회공업(주)영월공장	1	강원도 영월군 한반도면 쌍용로 89	강원도	영월군 한반도면	128.3220375	37.1860346
쌍용자동차(주)	0	경기도 평택시 동삭로 455-12	경기도	평택시	127.0952752	37.0282867
씨제이헬스케어(주)대소공장	18	충청북도 음성군 대소면 대소산단로 20	충청북도	음성군 대소면	127.4586577	36.981563
아시아첨가제주식회사	3	경기도 평택시 세교산단로22번길 21	경기도	평택시	127.0822729	37.0096194
아이씨씨	387	경기 안산시 단원구 장자골로 50	경기도	안산시 단원구	126.7649868	37.3112126
아이씨이아이우방(주)	0	경상남도 양산시 유산공단4길 28	경상남도	양산시	129.0320251	35.3598138
아이씨케미칼	5	전라남도 여수시 여수산단4로 80	전라남도	여수시	127.6771728	34.8312844
아이앤에스	1	충북 청주시 흥덕구 옥산면 호죽화산로 172	충청북도	청주시 흥덕구 옥산면	127.379221	36.7101139
아이에스동서(주)진주지점	0	경상남도 진주시 도동로 57	경상남도	진주시	128.1218182	35.1717088
아진일렉트론2공장	396	부산광역시 강서구 녹산산업중로 275	부산광역시	강서구	128.850053	35.093788
아진일렉트론3공장	425	부산광역시 사하구 다산로225번길 19	부산광역시	사하구	128.9534291	35.073035
아토텍코리아(주)	0	경기도 화성시 장안면 장안공단1길 37	경기도	화성시 장안면	126.8395678	37.1120025
알코아코리아주식회사	0	경상남도 창원시 성산구 정동로 48	경상남도	창원시 성산구	128.6859	35.196418
알포메	3596	충청북도 음성군 금왕읍 대금로 1064-10	충청북도	음성군 금왕읍	127.5537399	36.9775975
애경유화(주)울산공장	0	울산광역시 남구 상개로 81	울산광역시	남구	129.3186447	35.4923125
애경화학(주)	501	충남 청양군 정산면 충의로 1547-64	충청남도	청양군 정산면	126.9467071	36.4204231
에너테크인터내셔널(주)	0	충청북도 충주시 충주호수로 269	충청북도	충주시	127.946988	37.017917
에스앤케이항공(주)	257	경상남도 사천시 사남면 공단1로 107	경상남도	사천시 사남면	128.0651444	35.0692684
에스앤티모티브	10307	부산광역시 기장군 철마면 여락송정로 363	부산광역시	기장군 철마면	129.116784	35.3065452
에스엔에프코리아(주)울산공장	632	울산광역시 남구 여천로 215-100	울산광역시	남구	129.353	35.5320417
에스엔티중공업(주)	2	경상남도 창원시 성산구 남면로 599	경상남도	창원시 성산구	128.6775457	35.2087016
에스케이엠씨	0	경기 파주시 적성면 적성산단로 72 에스케이엠씨	경기도	파주시 적성면	126.9094535	37.9675122
에스티엠(주)	4	울산광역시 울주군 삼남면 반구대로 163	울산광역시	울주군 삼남면	129.0896125	35.5174917
에스티팜(주)	3451	경기도 시흥시 정왕동 1241-2	경기도	시흥시	126.7119107	37.3486129
에스티팜(주)반월2공장	3	경기도 안산시 단원구 해안로 171	경기도	안산시 단원구	126.7758639	37.2992522
에스피씨(주)	1590	경기도 평택시 포승읍 평택항만길 386	경기도	평택시 포승읍	126.8350096	36.9809617
에쓰오일인천저유소	445	인천광역시 중구 연안부두로 153	인천광역시	중구	126.5965392	37.44654
에어리퀴드코리아주식회사	0	전라남도 여수시 여수산단2로 263	전라남도	여수시	127.6508776	34.8180734
에이비테크(주)	2	대구광역시 달성군 구지면 달성2차4로 75	대구광역시	달성군 구지면	128.4264564	35.6380903
에이케이켐텍(주)청양공장	22	충청남도 청양군 정산면 충의로 1547-95	충청남도	청양군 정산면	126.947525	36.418618
에이케이켐텍(주)포항공장	31	경상북도 포항시 남구 호동로 25	경상북도	포항시 남구	129.37975	35.9805513
에이티티(주)	0	경기도 안산시 단원구 목내로119번길 92	경기도	안산시 단원구	126.7752233	37.311446
에코플라스틱(주)	250	경북 경주시 공단로57번길 31	경상북도	경주시	129.2191584	35.8770289
