주소	학교급	학교명	경도	위도	시도	행정구				
강원도 강릉시 하평2길 45 (포남동.한솔초등학교)	초등학교	한솔초등학교	128.9140403	37.774305	강원도	강릉시				
강원도 강릉시 하평2길 45 (포남동.한솔초등학교)	유치원	한솔초등학교병설유치원	128.9140403	37.774305	강원도	강릉시				
강원도 고성군 간성읍 간성로 39 . 20 (간성읍)	초등학교	간성초등학교	128.4706702	38.3789152	강원도	고성군				
강원도 고성군 간성읍 간성로 39 . 20 (간성읍)	유치원	간성초등학교병설유치원	128.4706702	38.3789152	강원도	고성군				
강원도 고성군 거진읍 거성길 38 . 거성초등학교 (거진읍)	초등학교	거성초등학교	128.457928	38.4523339	강원도	고성군				
강원도 고성군 거진읍 거성길 38 . 거성초등학교병설유치원 (거진읍)	유치원	거성초등학교병설유치원	128.457928	38.4523339	강원도	고성군				
강원도 고성군 거진읍 거탄진로 39-7 . 0 (거진읍)	고등학교	거진정보공업고등학교	128.4501423	38.4408489	강원도	고성군				
강원도 고성군 거진읍 거평로 69 (거진읍)	중학교	거진중학교	128.448105	38.4470855	강원도	고성군				
강원도 고성군 거진읍 자산길 19 . 거진초등학교 (거진읍)	초등학교	거진초등학교	128.4448075	38.4384612	강원도	고성군				
강원도 고성군 거진읍 자산길 19 . 거진초등학교 병설유치원 (거진읍)	유치원	거진초등학교병설유치원	128.4448075	38.4384612	강원도	고성군				
강원도 고성군 거진읍 송용길 12 (거진읍)	초등학교	거진초등학교송정분교장	128.422863	38.442101	강원도	고성군				
강원도 고성군 간성읍 수성로 125 (간성읍)	고등학교	고성고등학교	128.4610421	38.3782663	강원도	고성군				
강원도 고성군 간성읍 수성로 125 (간성읍)	중학교	고성중학교	128.4610421	38.3782663	강원도	고성군				
강원도 고성군 죽왕면 공현진한옥길 49 (죽왕면.공현진초등학교)	초등학교	공현진초등학교	128.5073783	38.354009	강원도	고성군				
강원도 고성군 죽왕면 공현진한옥길 49 (죽왕면)	유치원	공현진초등학교병설유치원	128.5073783	38.354009	강원도	고성군				
강원도 고성군 간성읍 진부령로 2427 (간성읍.광산초등학교)	초등학교	광산초등학교	128.4132181	38.3751184	강원도	고성군				
강원도 고성군 간성읍 진부령로 2427 (간성읍)	유치원	광산초등학교병설유치원	128.4132181	38.3751184	강원도	고성군				
강원도 고성군 간성읍 흘리령길 3-15 광산초등학교 흘리분교 (간성읍.광산초등학교흘리분교)	초등학교	광산초등학교흘리분교장	128.3744278	38.2668628	강원도	고성군				
강원도 고성군 현내면 화진포길 476 (현내면.대진중고등학교)	고등학교	대진고등학교	128.4334161	38.4848285	강원도	고성군				
강원도 고성군 현내면 화진포길 476 (현내면.대진중고등학교)	중학교	대진중학교	128.4334161	38.4848285	강원도	고성군				
강원도 고성군 현내면 대진3길 15 . 0 (현내면)	초등학교	대진초등학교	128.4235352	38.4969745	강원도	고성군				
강원도 고성군 현내면 대진3길 15 . 0 (현내면)	유치원	대진초등학교병설유치원	128.4235352	38.4969745	강원도	고성군				
강원도 고성군 토성면 무릉도원로 486 (토성면.도학초등학교)	초등학교	도학초등학교	128.501538	38.272567	강원도	고성군				
강원도 고성군 토성면 백촌길 30-15 (토성면)	고등학교	동광산업과학고등학교	128.542675	38.294525	강원도	고성군				
강원도 고성군 토성면 백촌길 30-15 (토성면)	중학교	동광중학교	128.542675	38.294525	강원도	고성군				
